Drug,Metabolite,Change,Increased,Decreased,Description
Abacavir,Creatinine,increased,1,0,Abacavir increases the level of Creatinine in the blood
Abacavir,Triglycerides,decreased,0,1,Abacavir decreases the level of Triglycerides in the blood
Abacavir,Cholesterol,decreased,0,1,Abacavir decreases the level of Cholesterol in the blood
Abacavir,Lactic acid,decreased,0,1,Abacavir decreases the level of Lactic acid in the blood
Abarelix,Total cholesterol,increased,1,0,Abarelix increases the level of Total cholesterol in the blood
Abarelix,Triglycerides,increased,1,0,Abarelix increases the level of Triglycerides in the blood
Abarelix,HDL cholesterol,increased,1,0,Abarelix increases the level of HDL cholesterol in the blood
Abiraterone,Cortisol,decreased,0,1,Abiraterone decreases the level of Cortisol in the blood
Abiraterone,Progesterone,increased,1,0,Abiraterone increases the level of Progesterone in the blood
Abiraterone,Pregnenolone,increased,1,0,Abiraterone increases the level of Pregnenolone in the blood
Abiraterone,Corticosterone,increased,1,0,Abiraterone increases the level of Corticosterone in the blood
Abiraterone,Mineralocorticoids,increased,1,0,Abiraterone increases the level of Mineralocorticoids in the blood
Abiraterone,Deoxycorticosterone,increased,1,0,Abiraterone increases the level of Deoxycorticosterone in the blood
Abiraterone,Steroid,increased,1,0,Abiraterone increases the level of Steroid in the blood
Abiraterone,11-deoxycorticosterone,increased,1,0,Abiraterone increases the level of 11-deoxycorticosterone in the blood
Abiraterone,Testosterone,decreased,0,1,Abiraterone decreases the level of Testosterone in the blood
Acamprosate,Glutamate,increased,1,0,Acamprosate increases the level of Glutamate in the blood
Acarbose,Glucose,decreased,0,1,Acarbose decreases the level of Glucose in the blood
Acarbose,Cholesterol,decreased,0,1,Acarbose decreases the level of Cholesterol in the blood
Acarbose,Pyruvate,decreased,0,1,Acarbose decreases the level of Pyruvate in the blood
Acarbose,Triglycerides,decreased,0,1,Acarbose decreases the level of Triglycerides in the blood
Acarbose,VLDL cholesterol,decreased,0,1,Acarbose decreases the level of VLDL cholesterol in the blood
Acarbose,HDL cholesterol,increased,1,0,Acarbose increases the level of HDL cholesterol in the blood
Acarbose,D-Glucose,decreased,0,1,Acarbose decreases the level of D-Glucose in the blood
Acarbose,Butyrate,increased,1,0,Acarbose increases the level of Butyrate in the blood
Acarbose,Butyrate,decreased,0,1,Acarbose decreases the level of Butyrate in the blood
Acarbose,Lactate,decreased,0,1,Acarbose decreases the level of Lactate in the blood
Acebutolol,Free fatty acids,decreased,0,1,Acebutolol decreases the level of Free fatty acids in the blood
Acetaminophen,N-acetyl paraquinone imine,increased,1,0,Acetaminophen increases the level of N-acetyl paraquinone imine in the blood
Acetaminophen,Bilirubin,increased,1,0,Acetaminophen increases the level of Bilirubin in the blood
Acetaminophen,Ethinyl Estradiol,increased,1,0,Acetaminophen increases the level of Ethinyl Estradiol in the blood
Acetaminophen,Gamma-glutamyl cysteine,increased,1,0,Acetaminophen increases the level of Gamma-glutamyl cysteine in the blood
Acetaminophen,Glutathione,decreased,0,1,Acetaminophen decreases the level of Glutathione in the blood
Acetaminophen,Pyroglutamic acid,increased,1,0,Acetaminophen increases the level of Pyroglutamic acid in the blood
Acetazolamide,Bicarbonate,decreased,0,1,Acetazolamide decreases the level of Bicarbonate in the blood
Acetazolamide,potassium,decreased,0,1,Acetazolamide decreases the level of potassium in the blood
Acetohexamide,Glucose,decreased,0,1,Acetohexamide decreases the level of Glucose in the blood
Acetylcysteine,Cysteinyl-glycine,decreased,0,1,Acetylcysteine decreases the level of Cysteinyl-glycine in the blood
Acetylcysteine,Cysteine,decreased,0,1,Acetylcysteine decreases the level of Cysteine in the blood
Acetylcysteine,Homocysteine,decreased,0,1,Acetylcysteine decreases the level of Homocysteine in the blood
